year,productive_population,unproductive_population,dependency_ratio,total_population
1980,83555877,66765622,79.90535723,150321499
1981,85684299,67780482,79.10490345,153464781
1982,87831396,68788744,78.31908308,156620140
1983,90051324,69731035,77.43476931,159782359
1984,92426930,70512954,76.2904859,162939884
1985,95010013,71059305,74.79138541,166069318
1986,97821175,71334769,72.92364767,169155944
1987,100830605,71400668,70.81249587,172231273
1988,103985950,71348801,68.61388582,175334751
1989,107208267,71255255,66.46432873,178463522
1990,110419045,71180190,64.46368921,181599235
1991,113503685,71247395,62.77099726,184751080
1992,116498632,71417285,61.30311041,187915917
1993,119386903,71694517,60.05224627,191081420
1994,122187874,72113973,59.01892769,194301847
1995,124930219,72673208,58.17104027,197603427
1996,127770989,73213474,57.30054574,200984463
1997,130461107,73797008,56.56628991,204258115
1998,133069974,74401679,55.91169575,207471653
1999,135688741,75057662,55.31605751,210746403
2000,138260860,75829715,54.84539515,214090575
2001,140624692,76572324,54.45154966,217197016
2002,142922800,77353227,54.12238425,220276027
2003,145204490,78143137,53.81592332,223347627
2004,147460292,78942800,53.53495435,226403092
2005,149567942,79676803,53.27131064,229244745
2006,151746492,80452759,53.01787075,232199251
2007,153896186,81202801,52.76466111,235098987
2008,156036237,81902572,52.48945602,237938809
2009,158240025,82474669,52.11997976,240714694
2010,160567666,82855073,51.60134357,243422739
2011,163029177,83035984,50.93320443,246065161
2012,165579092,83065916,50.16691117,248645008
2013,168137104,83023020,49.378167,251160124
2014,170621634,82988009,48.63862047,253609643
2015,172951002,83042672,48.01514362,255993674
2016,175112081,83203970,47.51469432,258316051
2017,177120806,83459933,47.12034395,260580739
2018,178985041,83802362,46.82087482,262787403
2019,180743960,84191864,46.58073443,264935824
2020,182408042,84618324,46.38957969,267026366
2021,183984000,85081054,46.24372445,269065054
2022,185456167,85601547,46.15729333,271057714
